Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","2.2u","C_0603",132.800000,-56.200000,0.000000,top
"C2","1u","C_0603",142.000000,-78.500000,270.000000,top
"C3","100n","C_0603",143.500000,-78.500000,270.000000,top
"C4","1u","C_0603",126.750000,-60.000000,270.000000,top
"C5","100n","C_0603",125.250000,-60.000000,270.000000,top
"C6","100n","C_0603",129.200000,-56.200000,180.000000,top
"C7","22u","C_0805",157.250000,-84.250000,0.000000,top
"C8","2.2n","C_0402",129.250000,-63.500000,180.000000,top
"C9","22u","C_0805",158.500000,-64.750000,90.000000,top
"C10","10u","C_0805",147.450000,-85.250000,180.000000,top
"C11","100n","C_0603",144.000000,-68.500000,180.000000,top
"C12","100n","C_0603",144.500000,-65.500000,90.000000,top
"C13","10u","C_0805",185.500000,-76.000000,180.000000,top
"C14","100n","C_0603",160.250000,-66.750000,90.000000,top
"C15","100n","C_0603",157.250000,-81.000000,0.000000,top
"C16","100n","C_0603",147.700000,-81.500000,180.000000,top
"C17","10u","C_0805",178.800000,-85.800000,0.000000,top
"C18","100n","C_0603",161.750000,-66.750000,90.000000,top
"C19","100n","C_0603",146.000000,-65.500000,90.000000,top
"C20","100n","C_0603",157.250000,-82.500000,0.000000,top
"C21","1u","C_0603",181.500000,-91.000000,0.000000,top
"C22","1u","C_0603",181.500000,-88.000000,0.000000,top
"C23","100n","C_0603",147.700000,-83.000000,180.000000,top
"C24","22u","C_0805",180.750000,-100.500000,180.000000,top
"C25","22u","C_0805",180.750000,-103.250000,180.000000,top
"C26","4.7u","C_0603",169.750000,-84.750000,270.000000,top
"C27","4.7u","C_0603",163.000000,-91.250000,90.000000,top
"C28","12p","C_0402",139.500000,-69.000000,0.000000,top
"C29","100n","C_0603",172.000000,-86.500000,270.000000,top
"C30","12p","C_0402",139.500000,-74.500000,180.000000,top
"C31","100n","C_0603",165.000000,-93.500000,0.000000,top
"C32","100n","C_0603",170.750000,-93.500000,90.000000,top
"C33","10u","C_0805",136.500000,-57.500000,270.000000,top
"C34","10u","C_0805",137.000000,-65.000000,90.000000,top
"C35","10u","C_0805",163.750000,-66.500000,90.000000,top
"D1","C72043","LED_0603",137.500000,-81.500000,90.000000,top
"D2","C72043","LED_0603",136.000000,-81.500000,90.000000,top
"D3","B5819W","D_SOD-123",194.000000,-79.000000,0.000000,top
"D4","B5819W","D_SOD-123",190.000000,-78.500000,90.000000,top
"D5","C72043","LED_0603",180.800000,-76.600000,180.000000,top
"F1","500 mA","Fuse_SMD1206_HandSoldering",189.500000,-84.500000,180.000000,top
"FB3","100 @ 100 MHz","L_0805_2012Metric",187.000000,-79.500000,90.000000,top
"HSE1","16MHz","Crystal_SMD_3225-4pin_3.2x2.5mm",139.500000,-71.750000,270.000000,top
"J3","Conn_01x04","conn_pad_SMD_1x4_1mm",141.800000,-99.000000,0.000000,top
"J7","AudioJack3_Ground","Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",192.000000,-105.000000,270.000000,top
"J8","AudioJack3_Ground","Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal",192.000000,-93.000000,270.000000,top
"L1","SDCL1005C39NJTDF","L_0402_1005Metric",140.500000,-78.500000,90.000000,top
"L2","SDCL1005C39NJTDF","L_0402_1005Metric",124.000000,-59.750000,90.000000,top
"R1","10k","R_0402",147.250000,-59.750000,180.000000,top
"R2","10k","R_0402",153.000000,-81.500000,90.000000,top
"R3","2k2","R_0402",139.500000,-60.750000,270.000000,top
"R4","2k2","R_0402",139.500000,-64.250000,90.000000,top
"R5","2k2","R_0402",137.500000,-79.000000,90.000000,top
"R6","2k2","R_0402",136.000000,-79.000000,90.000000,top
"R7","2k2","R_0402",177.950000,-76.750000,0.000000,top
"R8","2k2","R_0402",163.250000,-86.750000,270.000000,top
"R9","2k2","R_0402",161.750000,-88.750000,90.000000,top
"R10","220","R_0603",143.500000,-72.600000,0.000000,top
"U1","MPU-6050","QFN-24_4x4_Pitch0.5mm",130.750000,-60.000000,90.000000,top
"U2","STM32F405RGT6","LQFP-64_10x10mm_Pitch0.5mm",152.000000,-73.500000,270.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",181.000000,-81.000000,0.000000,top
"U4","WM8960","QFN-32-1EP_5x5mm_Pitch0.5mm",167.000000,-89.500000,90.000000,top
"U5","USBLC6-2SC6","SOT-23-6",190.200000,-71.325000,0.000000,top
